sector,heading,content,
Wallpaper,General,"In these conditions of sale 'the seller' means Wigwam Design and 'the buyer' means the person, firm or company placing an order for goods or services, which are subject to these terms and conditions which cannot be varied except in writing signed by the seller.",
Wallpaper,General,"These conditions of sale, together with the particulars contained in the Order Acceptance and any special conditions agreed by the seller in writing constitute the entire contract between the buyer and the seller.",
Wallpaper,Quotations,A quotation by the seller represents an invitation to the buyer to place an order and does not constitute a legal offer.  The purchase order shall be regarded as the offer and the seller's acceptance of the order shall be regarded as binding on both parties.  No alternative terms and conditions will be considered or accepted by the seller.  Trade prices will only be quoted if a current  account number is given by the buyer.,
Wallpaper,Quotations,All prices are quoted without commitment and are subject to alteration or withdrawal by the seller without prior notice.  Orders can only be accepted on condition that the prices charged are those ruling at the date of despatch unless the seller specifically agrees in writing to engage in a fixed price contract.  Prices quoted and agreed are for the goods only and do not include delivery.  Delivery to an agreed destination can be arranged by the seller if requested to do so by the buyer.  Delivery charges will be quoted separately.,
Wallpaper,Delivery,"Delivery times stated are estimates only and time is not of the essence.  Whilst every effort will be made to ensure that delivery times are adhered to, the seller cannot accept responsibility for damages or consequential loss or damage arising out of delay or failure to deliver by the date specified.",
Wallpaper,Delivery,Orders that are sent by post at the customer’s request are despatched at the customers risk.  The seller shall not be held responsible should the postal service provider lose or delay a delivery.,
Wallpaper,Delivery,"The buyer shall provide at its own expense adequate assistance for unloading goods at their place of delivery within a reasonable time from the arrival of the delivery vehicle.  In the event of a default, the buyer shall be liable for the additional cost of delivery or re-delivery thereby made necessary.",
Wallpaper,Delivery,"If for any reason whatsoever a buyer fails to take delivery of the goods or any part of them on the due date, the seller shall be entitled to charge for re-delivery and upon notice to the buyer delivery shall be deemed to have taken place and the buyer shall pay to the seller all costs and expenses including storage and insurance charges.  Any delay or failure shall not entitle the buyer to refuse to accept any delivery or to repudiate the contract and the full price shall be payable  to the seller without deduction.",
Wallpaper,Delivery,"Non-delivery or damage or pilferage in transit must be reported in writing to the seller within THREE business days upon receipt of goods.  Where goods are collected from the seller by the buyer or a third party nominated by the buyer, the risk in the goods passes to the buyer upon delivery to the buyer or to such third party.  The seller shall cease thereafter to be liable for any destruction, breakages or shortages or for the non-delivery of the goods.",
Wallpaper,Retention of Title,"Notwithstanding delivery and the passing of risk, property in and title to the goods shall remain with the seller until the seller has received payment of the full price of (i) all goods and/or services the subject of the Contract and (ii) all other goods and/or services supplied by the seller to the buyer under any contract whatsoever.  Payment of the full price shall include, without limitation, the amount of any interest or other sum payable under the terms of this and all other contracts between the seller and the buyer.  ",
